Round,Home,HG,AG,Away,Season,Res,W,L
1,Handball Sportverein Hamburg,30,31,SG Flensburg-Handewitt,2022,A,31,30
1,TBV Lemgo Lippe,26,30,VfL Gummersbach,2022,A,30,26
1,TSV Hannover-Burgdorf,25,22,SC DHfK Leipzig,2022,H,25,22
1,HC Erlangen,31,27,HSG Wetzlar,2022,H,31,27
1,Rhein-Neckar Löwen,36,25,MT Melsungen,2022,H,36,25
1,SC Magdeburg,31,23,ASV Hamm-Westfalen,2022,H,31,23
1,Füchse Berlin,34,27,FRISCH AUF! Göppingen,2022,H,34,27
1,THW Kiel,36,23,TVB 1898 Stuttgart,2022,H,36,23
1,GWD Minden,25,28,Bergischer HC,2022,A,28,25
2,FRISCH AUF! Göppingen,34,31,TBV Lemgo Lippe,2022,H,34,31
2,HSG Wetzlar,25,37,Füchse Berlin,2022,A,37,25
2,SG Flensburg-Handewitt,36,23,GWD Minden,2022,H,36,23
2,Bergischer HC,22,23,TSV Hannover-Burgdorf,2022,A,23,22
2,SC DHfK Leipzig,22,32,THW Kiel,2022,A,32,22
2,MT Melsungen,30,27,Handball Sportverein Hamburg,2022,H,30,27
2,VfL Gummersbach,28,30,SC Magdeburg,2022,A,30,28
2,TVB 1898 Stuttgart,27,29,HC Erlangen,2022,A,29,27
2,ASV Hamm-Westfalen,30,35,Rhein-Neckar Löwen,2022,A,35,30
3,TSV Hannover-Burgdorf,25,35,SG Flensburg-Handewitt,2022,A,35,25
3,Füchse Berlin,31,21,TVB 1898 Stuttgart,2022,H,31,21
3,TBV Lemgo Lippe,28,28,MT Melsungen,2022,D,28,28
3,THW Kiel,35,29,Bergischer HC,2022,H,35,29
3,Handball Sportverein Hamburg,27,21,GWD Minden,2022,H,27,21
3,VfL Gummersbach,29,28,ASV Hamm-Westfalen,2022,H,29,28
3,HC Erlangen,34,28,FRISCH AUF! Göppingen,2022,H,34,28
3,SC Magdeburg,32,28,HSG Wetzlar,2022,H,32,28
3,Rhein-Neckar Löwen,30,24,SC DHfK Leipzig,2022,H,30,24
4,SG Flensburg-Handewitt,31,31,Füchse Berlin,2022,D,31,31
4,Bergischer HC,32,28,TBV Lemgo Lippe,2022,H,32,28
4,ASV Hamm-Westfalen,29,32,HC Erlangen,2022,A,32,29
4,TVB 1898 Stuttgart,30,43,Rhein-Neckar Löwen,2022,A,43,30
4,FRISCH AUF! Göppingen,26,31,SC Magdeburg,2022,A,31,26
4,HSG Wetzlar,29,30,VfL Gummersbach,2022,A,30,29
4,MT Melsungen,28,31,TSV Hannover-Burgdorf,2022,A,31,28
4,SC DHfK Leipzig,22,23,Handball Sportverein Hamburg,2022,A,23,22
4,GWD Minden,18,34,THW Kiel,2022,A,34,18
5,Füchse Berlin,37,26,ASV Hamm-Westfalen,2022,H,37,26
5,Handball Sportverein Hamburg,33,23,Bergischer HC,2022,H,33,23
5,VfL Gummersbach,29,24,TVB 1898 Stuttgart,2022,H,29,24
5,Rhein-Neckar Löwen,28,27,SG Flensburg-Handewitt,2022,H,28,27
5,HSG Wetzlar,25,25,FRISCH AUF! Göppingen,2022,D,25,25
5,TSV Hannover-Burgdorf,27,29,THW Kiel,2022,A,29,27
5,SC Magdeburg,39,25,GWD Minden,2022,H,39,25
5,TBV Lemgo Lippe,29,29,SC DHfK Leipzig,2022,D,29,29
5,HC Erlangen,34,34,MT Melsungen,2022,D,34,34
