NAME,CLUB,POSITION,P,G,M,FG,G.1,%,AS,TF,ST,BL,YC,2MIN,RC,BK,HPI
Mortensen Casper Ulrich,Handball Sportverein Hamburg,LW,28,206,83,137,69,71.28%,9,19,17,0,1,6,0,0,77.0
Knorr Juri,Rhein-Neckar Löwen,CB,29,178,103,114,64,63.35%,100,80,4,3,1,3,1,0,71.0
Steinert  Christoph,HC Erlangen,RB,30,166,83,81,85,66.67%,42,34,6,5,1,4,0,0,72.0
Blohme  Lukas,VfL Gummersbach,RW,30,165,69,152,13,70.51%,14,16,11,1,2,8,1,0,74.0
Smits Kay,SC Magdeburg,RB,30,164,65,99,65,71.62%,44,29,4,2,0,5,0,0,74.0
Jakobsen  Emil,SG Flensburg-Handewitt,LW,30,160,52,111,49,75.47%,6,13,2,0,2,3,0,0,74.0
Kristjansson  Gisli Thorgeir,SC Magdeburg,CB,29,147,63,147,0,70.00%,98,66,1,3,1,5,0,0,74.0
Rubin  Lenny,HSG Wetzlar,LB,30,141,121,141,0,53.82%,49,45,8,18,2,17,0,0,70.0
KristjÃ¡nsson  ViggÃ³,SC DHfK Leipzig,RB,23,135,74,78,57,64.59%,72,59,5,1,1,10,0,0,70.0
Lindberg  Hans,Füchse Berlin,RW,24,134,36,63,71,78.82%,3,7,6,0,0,2,1,0,76.0
Schiller  Marcel,FRISCH AUF! Göppingen,LW,23,133,51,63,70,72.28%,4,5,9,0,0,1,0,0,76.0
Zehnder  Samuel,TBV Lemgo Lippe,LW,23,131,43,75,56,75.29%,2,6,7,0,0,2,0,0,76.0
Golla  Johannes,SG Flensburg-Handewitt,PV,29,129,37,129,0,77.71%,23,16,12,20,5,15,0,0,79.0
KÃ¶ster  Julian,VfL Gummersbach,LB,30,124,97,124,0,56.11%,139,80,6,24,2,15,0,0,71.0
Versteijnen  Niels Gerardus,TBV Lemgo Lippe,RB,30,124,96,123,1,56.36%,66,59,4,4,2,8,1,0,69.0
Holm  Jacob,Füchse Berlin,CB,30,120,86,120,0,58.25%,62,40,3,0,1,2,0,0,70.0
Ekberg  Niclas,THW Kiel,RW,27,119,37,54,65,76.28%,4,7,8,1,0,2,0,0,74.0
Huesmann  Fabian,ASV Hamm-Westfalen,LW,28,118,61,62,56,65.92%,1,12,7,1,2,7,0,0,70.0
Groetzki  Patrick,Rhein-Neckar Löwen,RW,28,117,36,117,0,76.47%,20,13,13,0,1,6,0,0,75.0
Mappes  Dominik,VfL Gummersbach,CB,20,115,77,80,35,59.90%,67,28,2,0,0,1,0,0,72.0
Arnesson  Linus,Bergischer HC,CB,26,114,61,73,41,65.14%,102,49,12,2,3,9,0,0,72.0
Lassen  Jacob Arenth,Handball Sportverein Hamburg,RB,23,112,87,112,0,56.28%,107,55,4,3,2,7,0,0,71.0
Andersen  Frederik Bo,Handball Sportverein Hamburg,RW,28,112,29,102,10,79.43%,9,7,10,0,0,5,0,0,75.0
Pfattheicher  Sascha,TVB 1898 Stuttgart,RW,29,111,50,94,17,68.94%,3,16,6,0,2,1,0,0,71.0
Baijens  Dani,Handball Sportverein Hamburg,CB,29,111,94,111,0,54.15%,70,63,4,0,5,8,0,0,66.0
Gidsel  Mathias,Füchse Berlin,RB,23,111,53,111,0,67.68%,68,38,14,0,2,3,0,0,75.0
Ahouansou  Philipp,Rhein-Neckar Löwen,LB,28,111,98,111,0,53.11%,31,38,8,4,3,7,0,0,69.0
Hutecek  Lukas,TBV Lemgo Lippe,LB,30,110,63,110,0,63.58%,113,57,7,6,1,3,0,0,72.0
Darmoul  Mohamed Amine,GWD Minden,CB,22,110,57,106,4,65.87%,21,35,5,0,0,8,0,0,70.0
Sarac  Josip,FRISCH AUF! Göppingen,LB,30,109,73,109,0,59.89%,44,35,12,18,4,10,1,0,70.0
LÃ¶nn  Adam,TVB 1898 Stuttgart,LB,30,108,96,108,0,52.94%,54,52,3,9,6,19,3,0,68.0
Gerbl  Maximilian,TSV Hannover-Burgdorf,RW,30,108,35,49,59,75.52%,6,6,8,0,3,4,0,0,73.0
Ladefoged  Frederik,Bergischer HC,PV,30,108,39,108,0,73.47%,8,33,4,15,5,28,2,0,73.0
Beyer  Noah,Bergischer HC,LW,27,104,45,85,19,69.80%,4,12,2,1,0,6,0,0,72.0
